id,name,district_id,province_id,name_nep
1,Arun Rural Municipality,1,1,???? ??????????
2,Amchok Rural Municipality,1,1,????? ??????????
3,Hatuwagadhi Rural Municipality,1,1,???????? ??????????
4,Pauwadung Rural Municipality,1,1,????????? ??????????
5,Temkemayung Rural Municipality,1,1,??????????? ??????????
6,Salpasilicho Rural Municipality,1,1,???????????? ??????????
7,Ram Prasad Rai Rural Municipality,1,1,????????? ??? ??????????
8,Shadananda Municipality,1,1,??????? ?????????
9,Bhojpur Municipality,1,1,?????? ?????????
10,Pakhribash Municipality,2,1,????????? ?????????
11,Dhankuta Municipality,2,1,?????? ?????????
12,Mahalakshmi Municipality,2,1,?????????? ?????????
13,Sangurigadhi Rural Municipality,2,1,?????????? ??????????
14,Sahidbhoomi Rural Municipality,2,1,???????? ??????????
15,Chhathar Jorpati Rural Municipality,2,1,??? ??????? ??????????
16,Chaubise Rural Municipality,2,1,?????? ??????????
17,Ilam Municipality,3,1,???? ?????????
18,Deumai Municipality,3,1,?????? ?????????
19,Mai Municipality,3,1,??? ?????????
20,Suryodaya Municipality,3,1,???????? ?????????
21,Fakphokathum Rural Municipality,3,1,????????? ??????????
22,Chulachuli Rural Municipality,3,1,???????? ??????????
23,Maijogmai Rural Municipality,3,1,????????? ??????????
24,Mangsebung Rural Municipality,3,1,???????? ??????????
25,Rong Rural Municipality,3,1,??? ??????????
26,Sandakpur Rural governor,3,1,???????? ??????????
27,Mechinagar Municipality,4,1,??????? ?????????
28,Damak Municipality,4,1,??? ?????????
29,Kankai Municipality,4,1,?????? ?????????
30,Bhadrapur Municipality,4,1,??????? ?????????
31,Arjundhara Municipality,4,1,?????????? ?????????
32,Shivshatakshi Municipality,4,1,?????????? ?????????
33,Gauradaha Municipality,4,1,?????? ?????????
34,Virtamod Municipality,4,1,????????? ?????????
35,Kamal Rural Municipality,4,1,??? ??????????
36,Gauriganj Rural Municipality,4,1,??????? ??????????
37,Bahardashi Rural Municipality,4,1,???????? ??????????
38,Jhapa Rural Municipality,4,1,???? ??????????
39,Buddhashanti Rural Municipality,4,1,??????????? ??????????
40,Haldiwari Rural Municipality,4,1,????????? ??????????
41,Kachankawal Rural Municipality,4,1,?????? ??????????
42,Halesi Tuvachung Municipality,5,1,????? ??????? ?????????
43,Diktel Rupakot Mazhuvagadhi Municipality,5,1,??????? ??????? ???????? ?????????
44,Aiselukharka Rural Municipality,5,1,????????? ??????????
45,Rawa Besi Rural Municipality,5,1,???? ???? ??????????
46,Jantedhunga Rural Municipality,5,1,?????????? ??????????
47,Khotehang Rural Municipality,5,1,??????? ??????????
48,Kepilasgadhi Rural Municipality,5,1,?????????? ??????????
49,Diprung Chuichumma Rural Municipality,5,1,??????? ????????? ??????????
50,Sakela Rural Municipality,5,1,?????? ??????????
51,Varahpokhari Rural Municipality,5,1,????????? ??????????
52,Biratnagar Metropolitan City,6,1,???????? ????????????
53,Belwari Municipality,6,1,??????? ?????????
54,Letang Municipality,6,1,????? ?????????
55,Pathari Sanishchare Municipality,6,1,???? ???????? ?????????
56,Rangeli Municipality,6,1,?????? ?????????
57,Ratuwamai Municipality,6,1,???????? ?????????
58,Sunvarshi Municipality,6,1,???????? ?????????
59,Urlavari Municipality,6,1,????????? ?????????
60,Sundaraharaicha Municipality ,6,1,??????????? ?????????
61,Budhiganga Rural Municipality,6,1,???????? ??????????
62,Dhanpalathan Rural Municipality,6,1,???????? ??????????
63,Gramthan Rural Municipality,6,1,???????? ??????????
64,Jahda Rural Municipality,6,1,???? ??????????
65,Kanepokhari Rural Municipality,6,1,????????? ??????????
66,Katahari Rural Municipality,6,1,????? ??????????
67,Kerawari Rural Municipality,6,1,???????? ??????????
68,Miklajung Rural Municipality,6,1,????????? ??????????
69,Siddicharan Municipality,7,1,????????? ?????????
70,Khijidemba Rural Municipality,7,1,?????????? ??????????
71,Champadevi Rural Municipality,7,1,????????? ??????????
72,Chishankhugadhi Rural Municipality,7,1,????????? ??????????
73,Manebhanyang Rural Municipality,7,1,?????????? ??????????
74,Molung Rural Municipality,7,1,????? ??????????
75,Likhu Rural Municipality,7,1,???? ??????????
76,Sunkoshi Rural Municipality,7,1,??????? ??????????
77,Fidim Municipality,8,1,????? ?????????
78,Phalelung Rural Municipality,8,1,??????? ??????????
79,Falgunand Rural Municipality,8,1,?????????? ??????????
80,Hilihang Rural Municipality,8,1,??????? ??????????
81,Kummayak Rural Municipality,8,1,???????? ??????????
82,Miklajung Rural Municipality,8,1,????????? ??????????
83,Tumbeva Rural Municipality,8,1,???????? ??????????
84,Yangwarak Rural Municipality,8,1,?????? ??????????
85,Chainpur Municipality,9,1,?????? ?????????
86,Dharmadevi Municipality,9,1,???????? ?????????
87,Khandwari Municipality,9,1,???????? ?????????
88,Madi Municipality,9,1,???? ?????????
89,Panchkhapan Municipality,9,1,??????? ?????????
90,Bhotkhola Rural Municipality,9,1,??????? ??????????
91,Chichila Rural Municipality,9,1,?????? ??????????
92,Makalu Rural Municipality,9,1,????? ??????????
93,Sabhapokhari Rural Municipality,9,1,???????? ??????????
94,Silichong Rural Municipality,9,1,??????? ??????????
95,Soludukund Municipality,10,1,???????????? ?????????
96,Mapya Dudhkoshi Rural Municipality,10,1,????? ??????? ??????????
97,Khumbu Pasanglhamu Rural Municipality,10,1,?????? ?????????? ??????????
98,Thulung Dudhkoshi Rural Municipality,10,1,????? ??????? ??????????
99,Nechasalyan Rural Municipality,10,1,?????????? ??????????
100,Mahakulung Rural Municipality,10,1,????????? ??????????
101,Likhu Pike Rural Municipality,10,1,???? ???? ??????????
102,Sotang Rural Municipality,10,1,????? ??????????
103,Itahari Sub-metropolis,11,1,????? ??????????????
104,Dharan Sub-metropolis,11,1,???? ??????????????
105,Inaruwa Municipality,11,1,?????? ?????????
106,Duhavi Municipality,11,1,????? ?????????
107,Ramdhuni Municipality,11,1,??????? ?????????
108,Barakhshetra Municipality,11,1,??????????? ?????????
109,Dewanganj Rural Municipality,11,1,????????? ??????????
110,Koshi Rural Municipality,11,1,???? ??????????
111,Gadhi Rural Municipality,11,1,??? ??????????
112,Barju Rural Municipality,11,1,????? ??????????
113,Bhokraha Narasimha Rural Municipality,11,1,???????? ?????? ??????????
114,Harinagar Rural Municipality,11,1,?????? ??????????
115,Fungling Municipality,12,1,?????? ?????????
116,Atharai Triveni Rural Municipality,12,1,????? ???????? ??????????
117,Sidingwa Rural Municipality,12,1,???????? ??????????
118,Faktanglung Rural Municipality,12,1,????????? ??????????
119,Mikwakhola Rural Municipality,12,1,?????????? ??????????
120,Meringden Rural Municipality,12,1,???????? ??????????
121,Maiwakhola Rural Municipality,12,1,???????? ??????????
122,Pathibhara Yangwarak Rural Municipality,12,1,??????? ?????? ??????????
123,Sirijangha Rural Municipality,12,1,????????? ??????????
124,Manglung Municipality,13,1,???????? ?????????
125,Laliguran's Municipality,13,1,?????????? ?????????
126,Atharai Rural Municipality,13,1,????? ??????????
127,Chhathar Rural Municipality,13,1,??? ??????????
128,Phedap Rural Municipality,13,1,????? ??????????
129,Menchhayayem Rural Municipality,13,1,?????????? ??????????
130,Katari Municipality,14,1,????? ?????????
131,Chaudandigarhi Municipality,14,1,?????????? ?????????
132,Triyuga Municipality,14,1,???????? ?????????
133,Municipality of Velka,14,1,????? ?????????
134,Udayapurgadhi Rural Municipality,14,1,????????? ??????????
135,Tapli Rural Municipality,14,1,?????? ??????????
136,Rautamai Rural Municipality,14,1,??????? ??????????
137,Limchungbung Rural Municipality,14,1,??????????? ??????????
138,Chhipaharmai Rural Municipality,15,2,???????? ??????????
139,Pakaha Mainpur Rural Municipality,15,2,????? ?????? ??????????
140,Bindabasini Rural Municipality,15,2,??????????? ??????????
141,Sakhuwa Prasauni Rural Municipality,15,2,????? ??????? ??????????
142,Paterwa Sugauli Rural Municipality,15,2,??????? ?????? ??????????
143,Kalikamai Rural Municipality,15,2,????????? ??????????
144,Jira Bhavani Rural Municipality,15,2,???? ????? ??????????
747,Birgunj Metropolitan,15,2,?????? ????????????
748,Pokhariya Municipality,15,2,??????? ?????????
749,Bahudarmai Municipality,15,2,???????? ?????????
750,Parsagadhi Municipality,15,2,???????? ?????????
751,Thori Rural Municipality,15,2,???? ??????????
752,Jagarnathpur Rural Municipality,15,2,????????? ??????????
753,Dhobini Rural Municipality,15,2,?????? ??????????
145,Kalaiya Sub-metropolis,16,2,????? ??????????????
146,Jeetpur Simra Sub-metropolis,16,2,?????? ????? ??????????????
147,Kolhavi Municipality,16,2,??????? ?????????
148,Nijgadh Municipality,16,2,????? ?????????
149,Mahagadhimai Municipality,16,2,????????? ?????????
150,Simraungadh Municipality,16,2,????????? ?????????
151,Pacharauta Municipality,16,2,?????? ?????????
153,Karaiyamai Rural Municipality,16,2,???????? ??????????
154,Devtal Rural Municipality,16,2,?????? ??????????
155,Parwanipur Rural Municipality,16,2,????????? ??????????
156,Prasauni Rural Municipality,16,2,??????? ??????????
157,Feta Rural Municipality,16,2,???? ??????????
158,Baragadhi Rural Municipality,16,2,??????? ??????????
159,Suvarna Rural Municipality,16,2,?????? ??????????
160,Vishrampur Rural Municipality,16,2,?????????? ??????????
161,Chandrapur Municipality**,17,2,????????? ?????????
162,Garuda Municipality,17,2,????? ?????????
163,Gaur Municipality,17,2,??? ?????????
164,Baudhimai Municipality,17,2,??????? ?????????
165,Brindavan Municipality,17,2,???????? ?????????
166,Dewahi Gonahi Municipality,17,2,?????? ?????? ?????????
167,Gadhimai Municipality,17,2,?????? ?????????
168,Gujra Municipality,17,2,????? ?????????
169,Katahariya Municipality,17,2,??????? ?????????
170,Madhav Narayan Municipality,17,2,???? ?????? ?????????
171,Maulapur Municipality,17,2,??????? ?????????
172,Fatuwabijaypur Municipality,17,2,???????????? ?????????
173,Ishnath Municipality,17,2,????? ?????????
174,Paroha Municipality,17,2,????? ?????????
175,Rajpur Municipality,17,2,?????? ?????????
176,Rajdevi Municipality,17,2,??????? ?????????
177,Durga Bhagwati Rural Municipality,17,2,?????? ????? ??????????
178,Yamunamai Rural Municipality,17,2,???????? ??????????
179,Ishwarpur Municipality,18,2,???????? ?????????
180,Malangwa Municipality,18,2,?????? ?????????
181,Lalbandi Municipality,18,2,???????? ?????????
182,Haripur Municipality,18,2,?????? ?????????
183,Haripurwa Municipality,18,2,????????? ?????????
184,Hariwan Municipality,18,2,????? ?????????
185,Barhathwa Municipality,18,2,?????? ?????????
186,Ballara Municipality,18,2,???? ?????????
187,Godaita Municipality,18,2,?????? ?????????
188,Bagmati Municipality,18,2,?????? ?????????
189,Kawilasi Municipality,18,2,??????? ?????????
190,Chakraghatta Rural Municipality,18,2,????????? ??????????
191,Chandranagar Rural Municipality,18,2,????????? ??????????
192,Dhankaul Rural Municipality,18,2,????? ??????????
193,Brahmapuri Rural Municipality,18,2,?????????? ??????????
194,Ramnagar Rural Municipality,18,2,?????? ??????????
195,Vishnu Rural Municipality,18,2,?????? ??????????
196,Kaudena Rural Municipality,18,2,?????? ??????????
197,Parsa Rural Municipality,18,2,????? ??????????
198,Basbariya Rural Municipality,18,2,??????? ??????????
199,Janakpurdham Sub-metropolis,19,2,????????? ??????????????
200,Kshireshwar Nath Municipality,19,2,????????????? ?????????
201,Ganeshman Charnath Municipality,19,2,??????? ?????? ?????????
202,Dhanushadham Municipality,19,2,???????? ?????????
203,Nagarain Municipality,19,2,?????? ?????????
204,Videha Municipality,19,2,????? ?????????
205,Mithila Municipality,19,2,?????? ?????????
206,Shahidnagar Municipality,19,2,??????? ?????????
207,Sabaila Municipality,19,2,????? ?????????
208,Kamala Municipality,19,2,???? ?????????
209,Mithila Bihari Municipality,19,2,?????? ?????? ?????????
210,Hanspur Municipality,19,2,?????? ?????????
211,Janakandini Rural Municipality,19,2,?????????? ??????????
212,Bateshwar Rural Municipality,19,2,??????? ??????????
213,Mukhiyapatti Musaharmiya Rural Municipality,19,2,??????????? ????????? ??????????
214,Laxminaya Rural Municipality,19,2,??????????? ??????????
215,Aurahi Rural Municipality,19,2,???? ??????????
216,Dhanauji Rural Municipality,19,2,????? ??????????
217,Lahan Municipality,20,2,???? ?????????
218,Dhangadhimai Municipality,20,2,???????? ?????????
219,Siraha Municipality,20,2,????? ?????????
220,Golbazar Municipality,20,2,??????? ?????????
221,Mirchaiya Municipality,20,2,????????? ?????????
222,Kalyanpur Municipality,20,2,????????? ?????????
223,Karjanha Municipality,20,2,???????? ?????????
224,Sukhipur Municipality,20,2,??????? ?????????
225,Bhagwanpur Rural Municipality,20,2,???????? ??????????
226,Aurahi Rural Municipality,20,2,???? ??????????
227,Bishnupur Rural Municipality,20,2,????????? ??????????
228,Bariyarpatti Rural Municipality,20,2,??????????? ??????????
229,Laxmipur Patari Rural Municipality,20,2,?????????? ????? ??????????
230,Naraha Rural Municipality,20,2,???? ??????????
231,Sakhuwanankarkatti Rural Municipality,20,2,????????????????? ??????????
232,Arnama Rural Municipality,20,2,?????? ??????????
233,Nawarajpur Rural Municipality,20,2,???????? ??????????
234,Jaleshwar Municipality,21,2,??????? ?????????
235,Bardibas Municipality,21,2,???????? ?????????
236,Gaushala Municipality,21,2,?????? ?????????
237,Loharpatti Municipality,21,2,????????? ?????????
238,Ramgopalpur Municipality,21,2,??????????? ?????????
239,Manara Shiswa Municipality,21,2,???? ????? ?????????
240,Matihani Municipality,21,2,??????? ?????????
241,Bhangaha Municipality,21,2,?????? ?????????
242,Balwa Municipality,21,2,???? ?????????
243,Aurahi Municipality,21,2,???? ?????????
244,Ekadara Rural Municipality,21,2,?????? ??????????
245,Sonama Rural Municipality,21,2,????? ??????????
246,Samsi Rural Municipality,21,2,?????? ??????????
247,Mahottari Rural Municipality,21,2,???????? ??????????
248,Pipra Rural Municipality,21,2,????? ??????????
249,Rajviraj Municipality,22,2,???????? ?????????
250,Kanchanrup Municipality,22,2,???????? ?????????
251,Dakneshwari Municipality,22,2,??????????? ?????????
252,Bodebarsain Municipality,22,2,?????????? ?????????
253,Khadak Municipality,22,2,??? ?????????
254,Shambhunath Municipality,22,2,???????? ?????????
255,Surunga Municipality,22,2,????????? ?????????
256,Hanuman Nagar Kangkalini Municipality,22,2,????????? ?????????? ?????????
257,Saptakoshi Municipality,22,2,???????? ?????????
258,Agnisair Krishnasaravan Rural Municipality,22,2,????????? ?????????? ??????????
259,Chhinnamasta Rural Municipality,22,2,?????????? ??????????
260,Mahadeva Rural Municipality,22,2,??????? ??????????
261,Tirhut Rural Municipality,22,2,?????? ??????????
262,Tilathi Koiladi Rural Municipality,22,2,?????? ??????? ??????????
263,Rupani Rural Municipality,22,2,????? ??????????
264,Rajgad Rural Municipality,22,2,????? ??????????
265,Bishnupur Rural Municipality,22,2,????????? ??????????
266,Balan-Bihul Rural Municipality,22,2,????-????? ??????????
267,Kamalamai Municipality,23,3,??????? ?????????
268,Dudhauli Municipality,23,3,?????? ?????????
269,Golanjar Rural Municipality,23,3,??????? ??????????
270,Ghyanglekh Rural Municipality,23,3,???????? ??????????
271,Tinpatan Rural Municipality,23,3,??????? ??????????
272,Fikal Rural Municipality,23,3,?????? ??????????
273,Marin Rural Municipality,23,3,???? ??????????
274,Sunkoshi Rural Municipality,23,3,??????? ??????????
275,Hariharpurgadhi Rural Municipality,23,3,??????????? ??????????
276,Manthali Municipality,24,3,?????? ?????????
277,Ramechhap Municipality,24,3,??????? ?????????
278,Umakunda Rural Municipality,24,3,???????? ??????????
279,Khandadevi Rural Municipality,24,3,????????? ??????????
280,Gokulganga Rural Municipality,24,3,?????????? ??????????
281,Doramba Shanlung Rural Municipality,24,3,??????? ?????? ??????????
282,Likhu Tamakoshi Rural Municipality,24,3,???? ???????? ??????????
